L;570;Zeebrugge-Dorp/Zeebrugge-Strand;Mechelen
L;571;Brugge;Gent-Sint-Pieters
L;572;Brugge;Gent-Sint-Pieters
L;576;Dendermonde;Zeebrugge-Dorp/Zeebrugge-Strand
L;577;Dendermonde;Zeebrugge-Dorp/Zeebrugge-Strand
L;578;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;579;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;580;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;581;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;582;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;583;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;584;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;585;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;586;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;587;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;588;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;589;Mechelen;Zeebrugge-Dorp/Zeebrugge-Strand
L;590;Mechelen;Brugge
L;591;Mechelen;Brugge
L;592;Mechelen;Brugge
L;593;Mechelen;Brugge
L;594;Mechelen;Brugge
L;595;Mechelen;Dendermonde
IC;606;Antwerpen-Centraal;Noorderkempen
IC;607;Antwerpen-Centraal;Noorderkempen
IC;608;Antwerpen-Centraal;Noorderkempen
IC;609;Antwerpen-Centraal;Noorderkempen
IC;610;Antwerpen-Centraal;Noorderkempen
IC;612;Antwerpen-Centraal;Noorderkempen
IC;614;Antwerpen-Centraal;Noorderkempen
IC;615;Antwerpen-Centraal;Noorderkempen
IC;616;Antwerpen-Centraal;Noorderkempen
IC;617;Antwerpen-Centraal;Noorderkempen
IC;618;Antwerpen-Centraal;Noorderkempen
IC;619;Antwerpen-Centraal;Noorderkempen
IC;620;Antwerpen-Centraal;Noorderkempen
IC;621;Antwerpen-Centraal;Noorderkempen
IC;626;Noorderkempen;Antwerpen-Centraal
IC;627;Noorderkempen;Antwerpen-Centraal
IC;628;Noorderkempen;Antwerpen-Centraal
IC;629;Noorderkempen;Antwerpen-Centraal
IC;630;Noorderkempen;Antwerpen-Centraal
IC;632;Noorderkempen;Antwerpen-Centraal
IC;634;Noorderkempen;Antwerpen-Centraal
IC;635;Noorderkempen;Antwerpen-Centraal
IC;636;Noorderkempen;Antwerpen-Centraal
IC;637;Noorderkempen;Antwerpen-Centraal
IC;638;Noorderkempen;Antwerpen-Centraal
IC;639;Noorderkempen;Antwerpen-Centraal
IC;640;Noorderkempen;Antwerpen-Centraal
IC;641;Noorderkempen;Antwerpen-Centraal
IC;704;Antwerpen-Centraal;Poperinge
IC;705;Antwerpen-Centraal;Poperinge
IC;706;Antwerpen-Centraal;Poperinge
IC;707;Antwerpen-Centraal;Poperinge
IC;708;Antwerpen-Centraal;Poperinge
IC;709;Antwerpen-Centraal;Poperinge
IC;710;Antwerpen-Centraal;Poperinge
IC;711;Antwerpen-Centraal;Poperinge
IC;712;Antwerpen-Centraal;Poperinge
IC;713;Antwerpen-Centraal;Poperinge
IC;714;Antwerpen-Centraal;Poperinge
IC;715;Antwerpen-Centraal;Poperinge
IC;716;Antwerpen-Centraal;Poperinge
IC;717;Antwerpen-Centraal;Poperinge
IC;718;Antwerpen-Centraal;Poperinge
IC;719;Antwerpen-Centraal;Poperinge
IC;720;Antwerpen-Centraal;Poperinge
IC;721;Antwerpen-Centraal;Poperinge
IC;722;Antwerpen-Centraal;Kortrijk
IC;723;Antwerpen-Centraal;Gent-Sint-Pieters
IC;725;Gent-Sint-Pieters;Antwerpen-Centraal
IC;726;Poperinge;Antwerpen-Centraal
IC;727;Poperinge;Antwerpen-Centraal
IC;728;Poperinge;Antwerpen-Centraal
IC;729;Poperinge;Antwerpen-Centraal
IC;730;Poperinge;Antwerpen-Centraal
IC;731;Poperinge;Antwerpen-Centraal
IC;732;Poperinge;Antwerpen-Centraal
IC;733;Poperinge;Antwerpen-Centraal
IC;734;Poperinge;Antwerpen-Centraal
IC;735;Poperinge;Antwerpen-Centraal
IC;736;Poperinge;Antwerpen-Centraal
IC;737;Poperinge;Antwerpen-Centraal
IC;738;Poperinge;Antwerpen-Centraal
IC;739;Poperinge;Antwerpen-Centraal
IC;740;Poperinge;Antwerpen-Centraal
IC;741;Poperinge;Antwerpen-Centraal
IC;742;Poperinge;Antwerpen-Centraal
IC;743;Poperinge;Antwerpen-Centraal
IC;744;Poperinge;Antwerpen-Centraal
L;755;Ronse/Renaix;Eeklo
L;756;Ronse/Renaix;Eeklo
L;757;Ronse/Renaix;Eeklo
L;758;Ronse/Renaix;Eeklo
L;759;Ronse/Renaix;Eeklo
L;760;Ronse/Renaix;Eeklo
L;761;Ronse/Renaix;Eeklo
L;762;Ronse/Renaix;Eeklo
L;763;Ronse/Renaix;Eeklo
L;764;Ronse/Renaix;Eeklo
L;765;Ronse/Renaix;Eeklo
L;766;Ronse/Renaix;Eeklo
L;767;Ronse/Renaix;Eeklo
L;768;Ronse/Renaix;Eeklo
L;769;Ronse/Renaix;Eeklo
L;770;Ronse/Renaix;Eeklo
